date,max_temp,min_temp,avg_temp
2026-08-02,32.4,17.3,24.85
2026-08-03,35.7,22.4,29.05
2026-08-04,32.4,23.4,27.9
2026-08-05,28.3,20.2,24.25
2026-08-06,25.9,17.9,21.9
2026-08-07,26.8,14.6,20.7
2026-08-08,31.2,16.4,23.799999999999997
2026-08-09,33.0,20.8,26.9
